"ITEM_SEQ","ITEM_NAME","ENTP_SEQ","ENTP_NAME","CHARTN","ITEM_IMAGE","PRINT_FRONT","PRINT_BACK","DRUG_SHAPE","COLOR_CLASS1","COLOR_CLASS2","LINE_FRONT","LINE_BACK","LENG_LONG","LENG_SHORT","THICK","IMG_REGIST_TS","CLASS_NO","ETC_OTC_CODE","ITEM_PERMIT_DATE","SHAPE_CODE","MARK_CODE_FRONT_ANAL","MARK_CODE_BACK_ANAL","MARK_CODE_FRONT_IMG","MARK_CODE_BACK_IMG","ITEM_ENG_NAME","EDI_CODE"
"202501700","엠파벡스정12.5/500밀리그램(엠파글리플로진,메트포르민염산염)","19680007","(주)서울제약","연한 갈색빛이 있는 자주색의 양면이 볼록한 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYCDpNzGRC","E12.5","500","타원형","분홍","","","","16.3","8.3","5.3","2025-08-08","03960","전문의약품","2025-07-08","010201","","","","","EMPABEX TAB. 12.5/500MG","652904750"
"202500124","오필드정100밀리그램(닌테다닙에실산염)","19540008","(주)대웅제약","분홍색의 원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PVNuhuOqqR","DW","N100","원형","분홍","","","","8.1","8.1","4.2","2025-02-07","02290","전문,희귀","2025-01-16","010201","","","","","Ofild tab. 100mg","641608240"
"202500123","오필드정150밀리그램(닌테다닙에실산염)","19540008","(주)대웅제약","분홍색의 원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PVNuhuOqrw","DW","N150","원형","분홍","","","","9.1","9.1","5.0","2025-02-07","02290","전문,희귀","2025-01-16","010201","","","","","Ofild tab. 150mg","641608250"
"202500638","액토스메트정15/850밀리그램(피오글리타존염산염, 메트포르민염산염)","19710005","(주)셀트리온제약","흰색 내지 회백색의 장방형의 볼록한 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PR-fX1yykP","15/850","CLR","타원형","하양","","","","18.0","9.9","7.3","2025-05-22","03960","전문의약품","2025-03-20","010201","","","","","Actosmet 15/850mg","693903990"
"202500713","뉴메만틴정20밀리그램(메만틴염산염)","19550019","엔비케이제약(주)","흰색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PR-fX1yylx","M분할선M","M분할선20","타원형","하양","","-","-","15.6","7.6","5.2","2025-05-22","01190","전문의약품","2025-03-27","010201","","","","","New memantine 20mg Tab.",""
"202500172","유레스코정0.5/5밀리그램(두타스테리드,타다라필)","19620002","동국제약(주)","흰색의 장방형 정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PR-fX1yynB","마크","313","타원형","하양","","","","15.3","9.1","6.2","2025-05-22","02590","전문의약품","2025-01-23","010101","dk,ck","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938665320000194","","Uresco Tab. 0.5/5mg(dutasteride,tadalafil)",""
"202500838","데스베라서방정25밀리그램(데스벤라팍신벤조산염)","19960030","(주)넥스팜코리아","흰색의 정사각형 서방성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PR-fX1yyqX","NK5","","사각형","하양","","","","9.2","9.2","4.8","2025-05-23","01170","전문의약품","2025-04-09","010502","","","","","Desvela SR Tab. 25mg","662505150"
"202500265","엔피비타비정","19940044","대한뉴팜(주)","연한 주황색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PR-fX1yywk","마크N","","원형","주황","","","","10.2","10.2","4.0","2025-05-23","03190","일반의약품","2025-02-07","010201","D","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900148","","NP Vita-B Tab.",""
"202500266","엔피셀렌씨정","19940044","대한뉴팜(주)","연한 파란색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PR-fX1yyyC","마크N","","원형","파랑","","","","10.2","10.2","4.5","2025-05-23","03190","일반의약품","2025-02-07","010201","D","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900148","","NP Selen-C Tab.",""
"202500070","다이어스탑캡슐(로페라미드염산염)","19640004","(주)씨엠지제약","흰색가루가 함유된 흰색의 경질캡슐제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PR-fX1yyza","CP LOPE","","장방형","하양","하양","","","15.5","5.2","5.5","2025-05-23","02370","일반의약품","2025-01-08","020101","","","","","Diastop capsule",""
