"ITEM_SEQ","ITEM_NAME","ENTP_SEQ","ENTP_NAME","CHARTN","ITEM_IMAGE","PRINT_FRONT","PRINT_BACK","DRUG_SHAPE","COLOR_CLASS1","COLOR_CLASS2","LINE_FRONT","LINE_BACK","LENG_LONG","LENG_SHORT","THICK","IMG_REGIST_TS","CLASS_NO","ETC_OTC_CODE","ITEM_PERMIT_DATE","SHAPE_CODE","MARK_CODE_FRONT_ANAL","MARK_CODE_BACK_ANAL","MARK_CODE_FRONT_IMG","MARK_CODE_BACK_IMG","ITEM_ENG_NAME","EDI_CODE"
"202300112","피마사브정60/2.5밀리그램","19700003","일성신약(주)","노란색의 모서리가 둥근 사각형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OOrhdcAmaa","FD62","","사각형","노랑","","","","7.7","7.7","4.5","2023-02-14","02140","전문의약품","2023-01-06","010201","","","","","Fimasab Tab. 60/2.5mg","655404600"
"202300100","피마사브정60/5밀리그램","19700003","일성신약(주)","주황색의 모서리가 둥근 사각형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OOrhdcAmas","FD65","","사각형","주황","","","","8.7","8.7","4.7","2023-02-14","02140","전문의약품","2023-01-06","010201","","","","","Fimasab Tab. 60/5mg","655404590"
"202300133","피마사브정30/2.5밀리그램","19700003","일성신약(주)","흰색의 모서리가 둥근 사각형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OOrhdcAmb8","FD32","","사각형","하양","","","","6.6","6.6","3.8","2023-02-14","02140","전문의약품","2023-01-06","010201","","","","","Fimasab Tab. 30/2.5mg",""
"202300026","다포가정10밀리그램(다파글리플로진프로판디올수화물)","19570010","삼천당제약(주)","노란색의 양면이 볼록한 마름모형의 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OOrhdcAmcG","SCD","10","마름모형","주황","","","","11.1","8.1","4.2","2023-02-14","03960","전문의약품","2023-01-03","010201","","","","","Daforga Tab. 10mg (Dapagliflozin Propanediol Monohydrate)","651205890"
"202300355","다파루틴듀오서방정10/1000밀리그램","19620001","신풍제약(주)","노란색의 양면이 볼록한 타원형의 서방성 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OOrhdcAmcY","","마크10/1000","타원형","주황","","","","20.8","11.1","8.7","2023-02-14","03960","전문의약품","2023-01-27","010502","","SP,5P,dS,d5","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900160","Daparoutine Duo XR Tablet 10/1000mg","648508130"
"202300124","암디카브큐정60/2.5밀리그램","19630009","영풍제약(주)","노란색의 모서리가 둥근 사각형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OOrhdcAmcq","AQ62","","사각형","노랑","","","","7.7","7.7","4.6","2023-02-14","02140","전문의약품","2023-01-06","010201","","","","","Amdikarb Q Tab. 60/2.5mg","661905760"
"202300141","암디카브큐정30/2.5밀리그램","19630009","영풍제약(주)","흰색의 모서리가 둥근 사각형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OOrhdcAmd6","AQ32","","사각형","하양","","","","6.7","6.7","3.7","2023-02-14","02140","전문의약품","2023-01-06","010201","","","","","Amdikarb Q Tab. 30/2.5mg",""
"202300103","암디카브큐정60/5밀리그램","19630009","영풍제약(주)","주황색의 모서리가 둥근 사각형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OOrhdcAmdO","AQ65","","사각형","주황","","","","8.7","8.7","4.7","2023-02-14","02140","전문의약품","2023-01-06","010201","","","","","Amdikarb Q Tab. 60/5mg","661905750"
"202300272","프레다정2밀리그램(에스트라디올반수화물)","19550016","(주)다림바이오텍","청색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1ORg8QAQKgT","","마크","원형","파랑","","","","6.2","6.2","2.9","2023-03-17","02470","전문의약품","2023-01-17","010201","","D","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900091","Preda Tab. 2mg",""
"202300354","다파로진듀오서방정10/1000밀리그램","19570012","(주)비보존제약","노란색의 양면이 볼록한 타원형의 서방성 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1ORg8QAQKht","","VZ10/1000","타원형","주황","","","","20.8","11.1","8.7","2023-03-17","03960","전문의약품","2023-01-27","010502","","","","","DapalozinDuo XR Tab. 10/1000mg","658204720"
