ITEM_SEQ,ITEM_NAME,ENTP_NAME,CHARTN,DRUG_SHAPE,COLOR_CLASS1,COLOR_CLASS2,PRINT_FRONT,PRINT_BACK,ETC_OTC_CODE,ITEM_ENG_NAME,CLASS_NO,LENG_LONG,LENG_SHORT,THICK,SOURCE_YEAR,RAG_TEXT
202501521,벨리라이트정,(주)옵투스제약,흰색의 타원형 필름코팅정,타원형,하양,,PS4,,일반의약품,BELLYLIGHT TABLET,2380.0,16.2,9.2,5.0,2025,벨리라이트정 | 제조사: (주)옵투스제약 | 모양: 타원형 | 색상: 하양 | 각인: PS4 | 일반의약품 | 흰색의 타원형 필름코팅정
202500982,보니카디정,(주)대웅제약,황갈색의 장방형 필름코팅정,타원형,분홍,,DW,BV,일반의약품,Bonica-D Tab.,3110.0,15.1,7.4,5.6,2025,보니카디정 | 제조사: (주)대웅제약 | 모양: 타원형 | 색상: 분홍 | 각인: DW BV | 일반의약품 | 황갈색의 장방형 필름코팅정
202400372,보령니세르골린정30밀리그램,(주)보령,노란색의 원형 필름코팅정,원형,노랑,,BR3,분할선,전문의약품,Boryung Nicergoline Tab. 30mg,2190.0,8.1,8.1,3.4,2024,보령니세르골린정30밀리그램 | 제조사: (주)보령 | 모양: 원형 | 색상: 노랑 | 각인: BR3 분할선 | 전문의약품 | 노란색의 원형 필름코팅정
202201161,보세비정,길리어드사이언스코리아(유),"한 면에 “GSI”, 다른 한 면에 “3”이 음각된 베이지색의 장방형 필름코팅정",타원형,분홍,,GSI,마크,전문의약품,Vosevi tablet,6290.0,20.4,10.3,7.5,2022,"보세비정 | 제조사: 길리어드사이언스코리아(유) | 모양: 타원형 | 색상: 분홍 | 각인: GSI 마크 | 전문의약품 | 한 면에 “GSI”, 다른 한 면에 “3”이 음각된 베이지색의 장방형 필름코팅정"
202301254,보세틴정10밀리그램(보티옥세틴브롬화수소산염),명인제약(주),노란색의 장방형 필름코팅정,타원형,노랑,,V2,,전문의약품,Voxetine Tab. 10mg,1170.0,8.6,5.4,3.8,2023,보세틴정10밀리그램(보티옥세틴브롬화수소산염) | 제조사: 명인제약(주) | 모양: 타원형 | 색상: 노랑 | 각인: V2 | 전문의약품 | 노란색의 장방형 필름코팅정
202301255,보세틴정15밀리그램(보티옥세틴브롬화수소산염),명인제약(주),연한 주황색의 장방형 필름코팅정,타원형,분홍,,V3,,전문의약품,Voxetine Tab. 15mg,1170.0,9.9,6.7,4.1,2023,보세틴정15밀리그램(보티옥세틴브롬화수소산염) | 제조사: 명인제약(주) | 모양: 타원형 | 색상: 분홍 | 각인: V3 | 전문의약품 | 연한 주황색의 장방형 필름코팅정
202301256,보세틴정20밀리그램(보티옥세틴브롬화수소산염),명인제약(주),적갈색의 장방형 필름코팅정,타원형,갈색,,V4,,전문의약품,Voxetine Tab. 20mg,1170.0,10.6,7.4,4.6,2023,보세틴정20밀리그램(보티옥세틴브롬화수소산염) | 제조사: 명인제약(주) | 모양: 타원형 | 색상: 갈색 | 각인: V4 | 전문의약품 | 적갈색의 장방형 필름코팅정
202301253,보세틴정5밀리그램(보티옥세틴브롬화수소산염),명인제약(주),분홍색의 장방형 필름코팅정,타원형,분홍,,V1,,전문의약품,Voxetine Tab. 5mg,1170.0,6.6,4.1,2.8,2023,보세틴정5밀리그램(보티옥세틴브롬화수소산염) | 제조사: 명인제약(주) | 모양: 타원형 | 색상: 분홍 | 각인: V1 | 전문의약품 | 분홍색의 장방형 필름코팅정
202300244,보술리프정100밀리그램(보수티닙일수화물),한국화이자제약(주),노란색의 양면이 볼록한 필름코팅정,타원형,주황,,마크,100,전문의약품,Bosulif Tablet 100mg (Bosutinib Monohydrate),4210.0,10.8,5.6,3.2,2023,보술리프정100밀리그램(보수티닙일수화물) | 제조사: 한국화이자제약(주) | 모양: 타원형 | 색상: 주황 | 각인: 마크 100 | 전문의약품 | 노란색의 양면이 볼록한 필름코팅정
202300245,보술리프정400밀리그램(보수티닙일수화물),한국화이자제약(주),주황색의 양면이 볼록한 타원형 필름코팅정,타원형,주황,,마크,400,전문의약품,Bosulif Tablet 400mg (Bosutinib Monohydrate),4210.0,17.0,8.9,5.1,2023,보술리프정400밀리그램(보수티닙일수화물) | 제조사: 한국화이자제약(주) | 모양: 타원형 | 색상: 주황 | 각인: 마크 400 | 전문의약품 | 주황색의 양면이 볼록한 타원형 필름코팅정
202300246,보술리프정500밀리그램(보수티닙일수화물),한국화이자제약(주),빨간색의 양면이 볼록한 타원형 필름코팅정,타원형,빨강,,마크,500,전문의약품,Bosulif Tablet 500mg (Bosutinib Monohydrate),4210.0,18.4,9.6,5.6,2023,보술리프정500밀리그램(보수티닙일수화물) | 제조사: 한국화이자제약(주) | 모양: 타원형 | 색상: 빨강 | 각인: 마크 500 | 전문의약품 | 빨간색의 양면이 볼록한 타원형 필름코팅정
202400391,본에디칼정,유니메드제약(주),녹색의 장방형 필름코팅정,장방형,연두,,C-1,,일반의약품,Bonedical Tab,3190.0,12.1,6.1,4.9,2024,본에디칼정 | 제조사: 유니메드제약(주) | 모양: 장방형 | 색상: 연두 | 각인: C-1 | 일반의약품 | 녹색의 장방형 필름코팅정
202501022,본에이디에스정,주식회사더유제약,황갈색의 장방형 필름코팅정,타원형,분홍,,TUP,BD,일반의약품,.,3110.0,15.1,7.4,5.8,2025,본에이디에스정 | 제조사: 주식회사더유제약 | 모양: 타원형 | 색상: 분홍 | 각인: TUP BD | 일반의약품 | 황갈색의 장방형 필름코팅정
202302404,본에콕스정,유니메드제약(주),두 개의 층으로 이루어진 황색의 장방형 필름코팅정,타원형,주황,,BX1,,전문의약품,BONE COX Tablet,1140.0,13.3,8.1,7.3,2023,본에콕스정 | 제조사: 유니메드제약(주) | 모양: 타원형 | 색상: 주황 | 각인: BX1 | 전문의약품 | 두 개의 층으로 이루어진 황색의 장방형 필름코팅정
202100592,부광메티마졸정2.5밀리그램,부광약품(주),흰색의 원형 정제,원형,하양,,M25,분할선,전문의약품,Methimazole Bukwang Tablet 2.5mg,2430.0,5.6,5.6,2.3,2021,부광메티마졸정2.5밀리그램 | 제조사: 부광약품(주) | 모양: 원형 | 색상: 하양 | 각인: M25 분할선 | 전문의약품 | 흰색의 원형 정제
202202571,부광아스코르브산정50밀리그램,부광약품(주),주황색의 원형 필름코팅정,원형,주황,,BK,VC,일반의약품,Bukwang Ascorbic Acid Tab.500mg,3100.0,8.2,8.2,4.2,2022,부광아스코르브산정50밀리그램 | 제조사: 부광약품(주) | 모양: 원형 | 색상: 주황 | 각인: BK VC | 일반의약품 | 주황색의 원형 필름코팅정
202502769,부리팜정100밀리그램(브리바라세탐),명인제약(주),연한 녹색의 타원형 필름코팅정,타원형,노랑,,MI,100,전문의약품,Buripam Tab. 100mg,1130.0,14.7,8.3,5.6,2025,부리팜정100밀리그램(브리바라세탐) | 제조사: 명인제약(주) | 모양: 타원형 | 색상: 노랑 | 각인: MI 100 | 전문의약품 | 연한 녹색의 타원형 필름코팅정
202502766,부리팜정10밀리그램(브리바라세탐),명인제약(주),흰색의 원형 필름코팅정,원형,하양,,MI,10,전문의약품,Buripam Tab. 10mg,1130.0,6.2,6.2,3.6,2025,부리팜정10밀리그램(브리바라세탐) | 제조사: 명인제약(주) | 모양: 원형 | 색상: 하양 | 각인: MI 10 | 전문의약품 | 흰색의 원형 필름코팅정
202502767,부리팜정25밀리그램(브리바라세탐),명인제약(주),회색의 타원형 필름코팅정,타원형,회색,,MI,25,전문의약품,Buripam Tab. 25mg,1130.0,9.1,5.2,3.8,2025,부리팜정25밀리그램(브리바라세탐) | 제조사: 명인제약(주) | 모양: 타원형 | 색상: 회색 | 각인: MI 25 | 전문의약품 | 회색의 타원형 필름코팅정
202502768,부리팜정50밀리그램(브리바라세탐),명인제약(주),연한 주황색의 타원형 필름코팅정,타원형,주황,,MI,50,전문의약품,Buripam Tab. 50mg,1130.0,11.8,6.7,4.5,2025,부리팜정50밀리그램(브리바라세탐) | 제조사: 명인제약(주) | 모양: 타원형 | 색상: 주황 | 각인: MI 50 | 전문의약품 | 연한 주황색의 타원형 필름코팅정
202105038,브렌셉트정23밀리그램(도네페질염산염수화물),(주)메디카코리아,빨간색의 양면이 볼록한 원형 필름코팅정,원형,분홍,,MK,23,전문의약품,Brencept Tab. 23mg,1190.0,8.1,8.1,4.3,2021,브렌셉트정23밀리그램(도네페질염산염수화물) | 제조사: (주)메디카코리아 | 모양: 원형 | 색상: 분홍 | 각인: MK 23 | 전문의약품 | 빨간색의 양면이 볼록한 원형 필름코팅정
202201516,브로멜라장용정(브로멜라인),(주)아이월드제약,분홍색의 원형 장용필름코팅정제,원형,분홍,,WB,,일반의약품,Bromela Enteric Coated Tab.,3950.0,9.9,9.9,5.8,2022,브로멜라장용정(브로멜라인) | 제조사: (주)아이월드제약 | 모양: 원형 | 색상: 분홍 | 각인: WB | 일반의약품 | 분홍색의 원형 장용필름코팅정제
202103034,브론패스정(숙지황·목단피·오미자·천문동·황금·행인·백부근연조엑스(1.4∼1.7→1)·옥수수전분 혼합건조물(4.8:1)),한림제약(주),연녹색의 타원형 필름코팅 정제,타원형,연두,,HL,7HE,전문의약품,BRONPASS,2290.0,13.8,7.4,4.9,2021,브론패스정(숙지황·목단피·오미자·천문동·황금·행인·백부근연조엑스(1.4∼1.7→1)·옥수수전분 혼합건조물(4.8:1)) | 제조사: 한림제약(주) | 모양: 타원형 | 색상: 연두 | 각인: HL 7HE | 전문의약품 | 연녹색의 타원형 필름코팅 정제
202200854,브루킨사캡슐80밀리그램(자누브루티닙),베이진코리아(유),흰색 내지 미백색의 가루가 든 흰색 내지 미백색의 불투명한 경질캡슐,장방형,하양,하양,ZANU 80,,"전문,희귀",Brukinsa capsules 80mg (Zanubrutinib),4210.0,20.9,7.0,7.4,2022,"브루킨사캡슐80밀리그램(자누브루티닙) | 제조사: 베이진코리아(유) | 모양: 장방형 | 색상: 하양 하양 | 각인: ZANU 80 | 전문,희귀 | 흰색 내지 미백색의 가루가 든 흰색 내지 미백색의 불투명한 경질캡슐"
202502517,브리세탐정100밀리그램(브리바라세탐),삼진제약(주),회녹색의 타원형 필름코팅정,타원형,노랑,,BV4,,전문의약품,Bricetam Tab. 100mg,1130.0,13.8,7.4,5.4,2025,브리세탐정100밀리그램(브리바라세탐) | 제조사: 삼진제약(주) | 모양: 타원형 | 색상: 노랑 | 각인: BV4 | 전문의약품 | 회녹색의 타원형 필름코팅정
