"ITEM_SEQ","ITEM_NAME","ENTP_SEQ","ENTP_NAME","CHARTN","ITEM_IMAGE","PRINT_FRONT","PRINT_BACK","DRUG_SHAPE","COLOR_CLASS1","COLOR_CLASS2","LINE_FRONT","LINE_BACK","LENG_LONG","LENG_SHORT","THICK","IMG_REGIST_TS","CLASS_NO","ETC_OTC_CODE","ITEM_PERMIT_DATE","SHAPE_CODE","MARK_CODE_FRONT_ANAL","MARK_CODE_BACK_ANAL","MARK_CODE_FRONT_IMG","MARK_CODE_BACK_IMG","ITEM_ENG_NAME","EDI_CODE"
"202400445","현대아라미정","19660001","현대약품(주)","갈색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8Tc","ARM","","장방형","갈색","","","","20","9.2","7.0","2024-05-14","03190","일반의약품","2024-03-04","010201","","","","","Hyundaiarami Tab.",""
"202400455","현대아라비정","19660001","현대약품(주)","갈색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8T2","ARB","","장방형","갈색","","","","16.4","8.6","7.0","2024-05-24","03190","일반의약품","2024-03-04","010201","","","","","Hyundaiarabi Tab.",""
"202400469","리나로엠서방정5/1000밀리그램(리나글립틴,메트포르민)","19690009","한림제약(주)","분홍색의 양면이 볼록한 타원형의 서방성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8VI","HLLX","5-1000","타원형","분홍","","","","22.2","11.1","9.5","2024-04-12","03960","전문의약품","2024-03-05","010502","","","","","Linaro-M XR tab. 5/1000mg","645307060"
"202400571","리나로엠서방정2.5/1000밀리그램(리나글립틴, 메트포르민)","19690009","한림제약(주)","노란색의 양면이 볼록한 타원형의 서방성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8Uk","HLLX","2.5-1000","타원형","주황","","","","22.2","11.1","9.4","2024-04-12","03960","전문의약품","2024-03-18","010502","","","","","Linaro-M XR tab. 2.5/1000mg","645307050"
"202400923","다파로엘정10/5밀리그램(다파글리플로진프로판디올수화물,리나글립틴)","19690009","한림제약(주)","노란색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8UA","HLDL","","원형","주황","","","","8.1","8.1","4.1","2024-06-13","03960","전문의약품","2024-04-22","010201","","","","","DAPARO L tab. 10/5mg",""
"202402436","휴세탄정(세벨라머탄산염)","19870002","(주)휴온스","흰색 또는 회백색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcf30","HSV4","","타원형","하양","","","","15.3","8.3","5.0","2024-11-20","02190","전문의약품","2024-10-15","010201","","","","","Husetan Tab(Sevelamer carbonate)",""
"202402347","아스라베캡슐100/5밀리그램(아스피린,라베프라졸)","19870002","(주)휴온스","흰색의 장용성 정제 및 노란색의 장용성 정제가 든 연한 노란색의 경질캡슐이다.","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcf4d","AR HS","","장방형","노랑","","","","16.4","6.6","6.6","2024-10-25","02190","전문의약품","2024-09-30","020103","","","","","Asrabe Cap.100/5mg(Aspirin,Rabeprazole)","670609400"
"202402318","세르골정10밀리그램(니세르골린)","19870002","(주)휴온스","흰색의 원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcf43","마크1","분할선","원형","하양","","","-","5.6","5.6","2.6","2024-11-06","02190","전문의약품","2024-09-26","010201","hu,ny","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938669511100060","","Cergol Tab. 10mg (Nicergoline)","670609390"
"202400966","진코발정240밀리그램(은행엽건조엑스)","19870002","(주)휴온스","녹색의 장방형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcf75","GK분할선24","HS","장방형","연두","","-","","16.2","8.2","6.6","2024-08-20","02190","일반의약품","2024-04-24","010201","","","","","Ginkgobal Tab. 240mg (Ginkgo leaf drided extract)",""
"202401079","비타포유정","19620003","(유)한풍제약","주황색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfBE","LOE","","타원형","주황","","","","17.3","10.3","6.5","2024-09-09","03190","일반의약품","2024-05-02","010201","","","","","Vita For U Tab.",""
